DocumentID,InvolvesPHI,InvolvesCoveredEntity,Explanation
doc-10-34,True,True,"The document involves both PHI and covered entities as defined by HIPAA. Specifically, it discusses the sealing of documents that contain 'protected health information' (PHI) under HIPAA, as indicated in the section discussing the McManus Declaration. It states that Exhibit A contains the names of patients who had medical records requests fulfilled by Verisma, and Exhibit B includes documents relating to medical records requests made by Plaintiffs’ counsel on behalf of other individuals. This clearly indicates the presence of individually identifiable health information, which qualifies as PHI under HIPAA. Furthermore, Verisma Systems, Inc. is identified as a defendant in the case, and it is implied that it operates in the healthcare sector, thus qualifying as a covered entity. Additionally, Strong Memorial Hospital and the University of Rochester are also mentioned as defendants, both of which are healthcare providers and therefore also covered entities under HIPAA. The document's references to HIPAA compliance and the need to protect sensitive health information further support the conclusion that it involves both PHI and covered entities."
doc-10-35,True,True,"The document is a legal decision regarding a civil rights lawsuit involving a homebound patient, Martin Bayne, who suffers from Parkinson's disease. The case discusses the disclosure of health information under the Health Insurance Portability and Accountability Act (HIPAA). The text explicitly mentions that the plaintiff's medical records and health information are relevant to the case, indicating the presence of Personal Health Information (PHI). For example, it states that 'health information means any information... that relates to the past, present, or future physical or mental health or condition of an individual.' This definition aligns with HIPAA's definition of PHI, confirming that the document involves PHI. Additionally, the document discusses the role of health care providers, specifically mentioning a nurse practitioner, Linda Cardamone, who is involved in the case. The mention of health care providers and the context of the legal proceedings indicate that covered entities are involved, as they are defined under HIPAA. The court's discussion about HIPAA's application to ex parte communications with health care providers further supports the conclusion that both PHI and covered entities are involved in this document."
doc-10-36,True,True,"The document is a legal opinion regarding a patent case involving Enserion, LLC and Orthofix, Inc. The patent in question relates to 'cloud-assisted rehabilitation' technology that gathers and processes musculoskeletal rehabilitation information from patients. The text explicitly mentions 'musculoskeletal rehabilitation information' and discusses the collection, processing, and de-identification of 'personal identifying information' in the context of HIPAA compliance. This indicates the presence of Personal Health Information (PHI) as it involves individually identifiable health information related to patients' rehabilitation experiences. Furthermore, the document references healthcare professionals and the rehabilitation portal, which suggests the involvement of covered entities under HIPAA, as healthcare providers are included in the definition of covered entities. The mention of HIPAA privacy protections and the need to de-identify personal identifying information further supports the conclusion that the document involves both PHI and covered entities."
doc-10-37,False,False,"The document is a legal case summary involving Jermaine D. Carpenter, a pretrial detainee, who appealed a dismissal of his complaint alleging violations of his rights under the Fourteenth Amendment and HIPAA. However, the case primarily discusses the stigmatizing effects of a stamp on his outgoing mail, which labeled him as a 'sexually violent person.' The court concluded that HIPAA does not provide a private right of action and that the allegations did not state a claim under HIPAA. There is no mention of any individually identifiable health information (PHI) as defined by HIPAA, such as names, medical records, or any other identifiers. The focus is on the constitutional implications of the stamp rather than on health data or covered entities. Therefore, the document does not involve PHI or covered entities."
doc-10-38,True,True,"The document involves both PHI and covered entities as defined by HIPAA. The case discusses a subpoena for documents related to independent medical examinations and medical records, which are likely to contain individually identifiable health information. Specifically, Request Number 12 seeks 'Copies of all defense medical examinations, independent medical examinations, and medical record review reports generated or created by [Dopson], with patient names and other confidential information redacted.' This indicates that the documents in question would contain protected health information (PHI) as they pertain to medical examinations and records that are identifiable to individuals. Furthermore, the document identifies Thomas Dopson as a 'covered entity' in the context of HIPAA, as it states, 'the parties do not dispute that Dopson is a “covered entity” or that the documents sought contain “protected health information.”' This confirms that the document involves a covered entity that is subject to HIPAA regulations."
doc-10-39,True,True,"The document involves a legal case concerning a subpoena issued to Spring Harbor Hospital, which is a healthcare provider and thus qualifies as a HIPAA-covered entity. The subpoena requests documentation regarding whether a specific individual had been involuntarily committed to a mental institution, which constitutes Personal Health Information (PHI) as it relates to the individual's mental health status and is individually identifiable. The text explicitly states that the hospital acknowledges its obligations under HIPAA, indicating that the information sought is protected health information. The court's ruling also references HIPAA regulations, confirming that the hospital is required to comply with the subpoena in this context, further supporting the involvement of both PHI and a covered entity."
doc-10-40,True,True,"The document involves Personal Health Information (PHI) as it discusses the medical treatment of Officer Anthony DiLeonardo, specifically his treatment by Dr. Beverly Kraszewski at Huntington Hospital following an incident where he discharged his firearm. The text references the Health Insurance Portability and Accountability Act (HIPAA) and mentions that Officer DiLeonardo signed HIPAA authorization forms for the release of his medical records, indicating that the information discussed is individually identifiable health information. The treatment details, including physical injuries and potential mental health observations, qualify as PHI under HIPAA. 

Additionally, the document involves HIPAA-covered entities, as it references Huntington Hospital, a healthcare provider, and Dr. Beverly Kraszewski, who is a medical professional providing treatment. The context of the legal proceedings, including the subpoena for Dr. Kraszewski's testimony regarding her treatment of Officer DiLeonardo, further supports the involvement of covered entities and the handling of PHI. The discussion of medical records and the implications of HIPAA compliance throughout the document confirm the presence of both PHI and covered entities."
doc-11-41,True,True,"The document is a court ruling involving a pro se plaintiff, Michael J. Lagueux, who is seeking authorization to obtain protected health information (PHI) from Griffin Hospital. The mention of 'protected health information' indicates that the document involves PHI as defined by HIPAA, particularly since the plaintiff is requesting specific medical records of named patients to support his claims. The court discusses the requirements for obtaining such information under HIPAA, including the need for proper authorization and compliance with regulations. Additionally, the defendants in the case are identified as Bridgeport Hospital School of Nursing and Griffin Hospital, both of which are covered entities under HIPAA as they are healthcare providers. The court's ruling addresses the procedural aspects of obtaining PHI, confirming the involvement of both PHI and covered entities in the context of the legal proceedings."
doc-11-42,True,True,"The document is a Consent Judgment involving Medical Informatics Engineering, Inc. and NoMoreClipboard, LLC, which are identified as Business Associates under HIPAA. The text explicitly states that these entities provide electronic health records services to healthcare providers, which qualifies them as covered entities under HIPAA. The document discusses compliance with HIPAA regulations, including the handling of Electronic Protected Health Information (ePHI) and Protected Health Information (PHI). Specific references include definitions of 'Business Associate' and 'Covered Entity' as per HIPAA regulations, and the requirement for the defendants to comply with HIPAA's privacy and security rules. The document also mentions the need for safeguards to protect PHI, indicating that the information involved is indeed individually identifiable health information as defined by HIPAA. Therefore, both PHI and covered entities are clearly involved in this legal document."
doc-11-43,True,True,"The document is a legal memorandum from a court case involving allegations of false claims submitted to Medicare regarding the off-label use of a pharmaceutical drug, Namenda, which is used to treat Alzheimer's disease. The case involves Forest Laboratories, Inc., and Forest Pharmaceuticals, Inc., both of which are pharmaceutical companies that qualify as HIPAA-covered entities due to their involvement in the healthcare industry. The document discusses the collection of patient medical information, including details such as age, height, weight, dates of visits, diagnosis, treatment plans, and prescriptions, which are all considered Personal Health Information (PHI) under HIPAA. Specifically, the Second Amended Complaint identified eight patients with detailed medical information, which is clearly individually identifiable health information. The document also mentions that physicians provided patient medical charts and other confidential medical information, further indicating the presence of PHI. Therefore, the document involves both HIPAA-covered entities and PHI."
doc-11-44,True,True,"The document involves a legal case where the plaintiffs, Nancy Murphy and Robert Stewart, allege that Thomas Jefferson University Hospitals, Inc. (referred to as 'Jefferson Health'), a healthcare provider, violated their privacy rights by improperly handling their personal health information through the use of advertising technology from Meta Platforms, Inc. The plaintiffs specifically mention that their communications with Jefferson Health included details about their 'symptoms, appointments, test results, medications, prescriptions, and treatments.' This clearly indicates the presence of Personal Health Information (PHI) as defined by HIPAA, which includes any individually identifiable health information. Furthermore, Jefferson Health is a covered entity under HIPAA as it is a healthcare provider that handles health data. The case revolves around the alleged interception and unauthorized sharing of this sensitive health information, which further supports the conclusion that both PHI and a covered entity are involved."
doc-11-45,True,True,"The document involves a legal case where the plaintiff, James Turner, has filed a complaint against Fountain View Subacute & Nursing Center, L.L.C., which is a skilled nursing facility. This facility is a covered entity under HIPAA as it provides healthcare services and handles health information. The complaint raises issues related to the confidentiality and release of medical records, which are considered Personal Health Information (PHI) under HIPAA. Specifically, the plaintiff alleges violations of California Health & Safety Code § 1430 and California Evidence Code § 1158, which pertain to the rights of patients regarding their medical records. The complaint references HIPAA regulations, indicating that the case involves PHI, as it discusses the handling of medical records and the confidentiality of health information. The mention of HIPAA and the context of the claims suggest that the document indeed involves both PHI and a covered entity."
doc-11-46,True,True,"The document is a court case involving plaintiffs who were former employees of Medicalodges, Inc., a long-term care provider, which qualifies as a HIPAA-covered entity. The case discusses the discovery of patient records from the Alzheimer’s Center, which is operated by the defendant. The records requested include clinical records, nurse’s notes, and other health-related information about specific patients, which are considered Personal Health Information (PHI) under HIPAA. The court acknowledges that the requested records contain confidential patient health care information and that the defendant has a legal duty to keep this information confidential, indicating the presence of PHI. The document also references HIPAA directly, discussing the legal obligations regarding the handling of individually identifiable health information, further confirming the involvement of both PHI and a covered entity."
doc-11-47,True,True,"The document is a court opinion regarding a case involving the Social Security Administration (SSA), which is a HIPAA-covered entity as it deals with health information related to social security benefits. The SSA maintains databases that contain personal health information (PHI) such as the Supplemental Security Record (SSR) and the Master Beneficiary Record (MBR), which include details about individuals' health status, benefits eligibility, and other sensitive personal data. The text explicitly mentions that the SSR contains information used to administer the Federal Supplemental Security Income (SSI) benefit program, and the MBR holds records for beneficiaries of Old Age, Survivors, and Disability Insurance (OASDI). These records include individually identifiable health information, which qualifies as PHI under HIPAA. Furthermore, the document discusses the privacy interests associated with the release of this information, indicating that it contains sensitive data that could identify individuals, thus confirming the presence of PHI. Additionally, the SSA's role as a federal agency that processes health-related data makes it a covered entity under HIPAA, as it handles health information in the course of its operations."
doc-11-48,True,True,"The document is a Protective Order from a legal case involving the parties Barbarino v. Attentive Home Care Agency Inc. It explicitly mentions HIPAA and defines 'Protected Health Information' (PHI) in accordance with HIPAA regulations. The term 'Protected Health Information' is defined in paragraph 2.2 as including 'individually identifiable health information,' which is a key component of PHI as defined by HIPAA. Additionally, the mention of 'Attentive Home Care Agency Inc.' suggests that this entity is likely a covered entity under HIPAA, as it is involved in providing health care services. The document outlines the handling of 'CONFIDENTIAL' information, which includes PHI, indicating that the parties involved are managing health-related data that falls under HIPAA regulations. Therefore, both the presence of PHI and the involvement of a covered entity are confirmed."
doc-11-49,True,True,"The document involves both PHI and covered entities as defined by HIPAA. The case centers around Kaiser Foundation Health Plan, Inc. (KFHP), which is a health care provider and thus qualifies as a covered entity under HIPAA. The text explicitly mentions that KFHP provides health care services and has agreements with the Deans to scan and store KFHP's patients' private medical records. This indicates that KFHP is handling health information that is subject to HIPAA regulations. 

Furthermore, the document discusses the Deans' offer to sell lists containing patients' names, medical record numbers, dates of birth, and admission dates, all of which are considered Personal Health Information (PHI) under HIPAA. The court notes that the information being offered by the Deans is clearly 'protected health information' under HIPAA and the California Confidentiality of Medical Information Act (CMIA). The Deans' actions of attempting to sell this information without proper authorization from KFHP, a covered entity, constitutes a violation of HIPAA. Therefore, the document clearly involves both PHI and covered entities."
doc-11-50,False,True,"The document primarily discusses a legal case involving Texas Tech Physicians Associates and the U.S. Department of Health and Human Services (HHS) regarding a Medicare demonstration project. While it mentions Medicare and the management of care for beneficiaries, it does not provide any specific individually identifiable health information (PHI) as defined by HIPAA. The text does not include any of the identifiers listed in the Safe Harbor de-identification method, such as names, dates of birth, or any other identifiable health information. Therefore, it does not involve PHI. However, it does involve a covered entity, as Texas Tech Physicians Associates is a healthcare provider that participates in Medicare, which is a program governed by HIPAA regulations. The mention of HHS and Medicare indicates the involvement of a covered entity, as HHS oversees Medicare services and Texas Tech is a provider within that system."
doc-11-51,True,True,"The document is a court order related to a civil rights case involving the California Department of State Hospitals (DSH) and its employees, which are considered covered entities under HIPAA as they are healthcare providers. The case discusses the production of medical records and protected health information (PHI) of a third party, referred to as M.C., who is a patient at DSH. The text explicitly mentions the need to comply with HIPAA regulations regarding the disclosure of identifiable protected health information, indicating that the document involves PHI. For example, it states, 'HIPAA prohibits disclosure of identifiable protected health information (“PHI”) by “covered entities,” including health care providers, except as specifically permitted or required by HIPAA.' Additionally, the court discusses the necessity of a protective order for the disclosure of M.C.'s medical records, further confirming the involvement of PHI. The document also references the California Confidentiality of Medical Information Act (CMIA) and the Lanterman-Petris-Short (LPS) Act, which are relevant to the handling of medical information, reinforcing the context of healthcare and patient privacy. Therefore, the document involves both PHI and covered entities."
doc-11-52,True,True,"The document involves both PHI and covered entities as defined by HIPAA. The case revolves around a radiologist (Dr. David Rideout) working at a hospital within the Veterans Health Administration (VHA), which is a covered entity under HIPAA as it is a healthcare provider. The actions taken by Rideout included reporting concerns about patient safety and the conduct of other healthcare professionals (a radiological technologist and a registered nurse) to various credentialing boards and health authorities, which indicates the handling of health-related information. Specifically, the document mentions that Rideout's disclosures included 'sensitive personal information' and that he was acting under VHA's whistleblower policy, which allows for the reporting of conduct that potentially endangers patients. This suggests that the information involved could be considered PHI, as it relates to the health and safety of patients and includes identifiable information about healthcare professionals' actions affecting patient care. Furthermore, the document discusses the implications of Rideout's actions in the context of patient treatment and safety, reinforcing the presence of PHI."
doc-11-53,False,True,"The document is a legal opinion from the United States District Court regarding a class action lawsuit involving Medicare beneficiaries against the Secretary of Health and Human Services. The case discusses issues related to Medicare, which is a federal health insurance program, indicating the involvement of a covered entity (the Secretary of Health and Human Services). However, the document does not contain any specific references to individually identifiable health information (PHI) as defined by HIPAA. While it discusses Medicare beneficiaries and their rights, it does not disclose any personal health information, such as names, medical records, or other identifiers that would qualify as PHI under HIPAA. The references to Medicare and the Secretary of Health and Human Services confirm the involvement of a covered entity, but the absence of identifiable health information means that it does not involve PHI."
doc-11-54,True,True,"The document involves a qui tam action under the False Claims Act (FCA) related to Medicare fraud, which is a federal health insurance program. The relator, Thomas M. Zizic, M.D., alleges that Q2Administrators, LLC and RiverTrust Solutions, Inc. fraudulently billed the United States for unperformed reviews of benefit claim denials required by the Medicare Act. This indicates the involvement of covered entities, as Q2A and RTS are contractors that process health information on behalf of the government, which qualifies them as covered entities under HIPAA. 

Furthermore, the document discusses the production of almost 35,000 pages of documents during discovery, which included personal medical information related to individual beneficiaries. This constitutes Personal Health Information (PHI) as defined by HIPAA, since it includes individually identifiable health information. The relator's review of medical records for claims related to the BIO–1000 device further supports the presence of PHI. 

The context of the document clearly indicates that it deals with health-related claims and the processing of health information, thus confirming the involvement of both PHI and covered entities."
doc-11-55,True,True,"The document is a court order related to a case involving plaintiffs and defendants, including Wellpath LLC, which is identified as a healthcare provider. The context of the case involves the production of grievances related to COVID-19 made by incarcerated persons, which likely includes Personal Health Information (PHI) as defined by HIPAA. Specifically, the document discusses the need for Wellpath to produce grievances that may contain health-related information about inmates, which is considered PHI under HIPAA. The court acknowledges Wellpath's obligations under HIPAA to maintain the confidentiality of patient information and medical records, indicating that the information being discussed is indeed health-related and potentially identifiable. Furthermore, the mention of grievances related to COVID-19 suggests that the document involves health information that is individually identifiable, thus qualifying as PHI. Additionally, Wellpath is a covered entity as it provides healthcare services, making it subject to HIPAA regulations."
doc-11-56,True,True,"The document is a legal memorandum from a court case involving the Health Insurance Portability and Accountability Act (HIPAA). It discusses the use and disclosure of 'individually identifiable health information,' which is defined as Personal Health Information (PHI) under HIPAA. The case involves plaintiffs challenging an amended rule that affects how health care providers (a type of covered entity) can use health information without patient consent. The text explicitly mentions 'protected health information' and discusses the rights of individuals regarding their health information, indicating that PHI is involved. Additionally, the document references health care providers and the Secretary of the U.S. Department of Health and Human Services, both of which are covered entities under HIPAA. Therefore, the document involves both PHI and covered entities."
doc-11-57,False,True,"The document is a legal case involving Medtronic Inc. and Edwards Lifesciences Corp. regarding patent infringement related to medical devices and procedures. While the document discusses medical procedures and devices, it does not contain any individually identifiable health information (PHI) as defined by HIPAA. There are no references to specific patients, their health information, or any identifiers that would classify the information as PHI. However, the document does involve covered entities, as both Medtronic and Edwards are companies that operate within the healthcare sector, dealing with medical devices and procedures that may involve patient care. Therefore, while the document does not involve PHI, it does involve HIPAA-covered entities due to the nature of the companies involved in the case."
doc-11-58,False,False,"The document is a legal memorandum from a bankruptcy court case involving TelexFree, LLC, which was found to be operating a Ponzi scheme. The content primarily discusses the admissibility of expert witness testimony regarding the methodology used to identify 'net winners' and 'net losers' in the context of the bankruptcy proceedings. The focus is on financial transactions and the aggregation of user accounts related to a fraudulent scheme, rather than on any health-related information or entities. There are no references to health care providers, health insurance organizations, or any other HIPAA-covered entities. Additionally, there is no mention of Personal Health Information (PHI) as defined by HIPAA, such as individually identifiable health information. The data discussed pertains to financial records and user account information, which do not fall under the scope of HIPAA regulations."
doc-12-59,True,True,"The document involves Personal Health Information (PHI) as it discusses the medical treatment of Officer Anthony DiLeonardo, specifically his treatment by Dr. Beverly Kraszewski at Huntington Hospital following an incident where he discharged his firearm. The text references the Health Insurance Portability and Accountability Act (HIPAA) and mentions that Officer DiLeonardo signed HIPAA authorization forms for the release of his medical records, indicating that the information discussed is individually identifiable health information. The treatment details, including physical injuries and potential mental health observations, qualify as PHI under HIPAA. Furthermore, the document involves covered entities, as it references a healthcare provider (Dr. Beverly Kraszewski) and a hospital (Huntington Hospital), both of which are considered covered entities under HIPAA due to their roles in providing medical care and handling health information."
