"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-2-21,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,Federal court,"Workplace injury, regarding transfer of information that defendant requested a medical exam of plaintiff after the workplace injury",,,,,,
doc-10-30,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2014,Federal court,,,,,,,
doc-10-31,Individual vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Court Rulings/Decisions,2016,Federal court,"Defendant wanted court to ""seal certain information alleged in the complaint regarding patient treatment, arguing that the Health Insurance Portability and
Accountability Act (“HIPAA”) bars its disclosure."" Basically, wanted to seal allegations in a complaint claiming HIPAA bars it from being disclosed.",,,,,,
doc-10-32,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-10-33,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2010,Federal court,,,,,,,
doc-10-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,,Federal court,,,,,,,
doc-10-35,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2005,Federal court,,,,,,,
doc-10-36,Neither Party is a Covered Entity,Medical information not covered by HIPAA (e.g. aggregate prescription data),,Court Rulings/Decisions,2021,Federal court,,,,,,,
doc-10-37,Neither Party is a Covered Entity,Legal or Criminal Information,,Legal Briefs,2011,Federal court,"Unprotected claim that a stamp on outgoing mail that said ""“sexually violent persons treatment center"" was a violation of HIPAA.",,,,,,
doc-10-38,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Financial Data",,Court Rulings/Decisions,2020,Federal court,Plaintiff's access to examiner's information was what was being disputed (who would be a covered entity).,,,,,,
doc-10-39,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2006,Federal court,,,,,,,
doc-10-40,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,"Neither party is a covered entity, but the data being disputed is about a subpoena for a medical professional witness.",,,,,,
doc-11-41,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,"Plaintiff wanted to acquire access to certain patient records for a Title IX dispute for School of Nursing, as evidence that plaintiff provided adequate nursing care to patients.",,,,,,
doc-11-42,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2019,Federal court,,,,,,,
doc-11-43,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2017,Federal court,,,,,,,
doc-11-44,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-11-45,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,"Potentially problematic? ""Defendant contends that the Complaint raises a federal question because Defendant could not comply with Plaintiff’s request for medical records without violating federal requirements under HIPAA. (Opp’n at 3, 6-7.) This is an affirmative
defense, not a necessary element of Plaintiff’s state-law claim, and therefore cannot form the basis of federal question jurisdiction. Vaden, 556 U.S. at 60.""",,,,,,
doc-11-46,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2006,Federal court,"Defendant objected to producing medical records (that could possibly help plaintiffs' case) that Plaintiffs requested in order to support claim of wrongful job termination, with Defendants citing that HIPAA prevented them from sharing the records.",,,,,,
doc-11-47,Individual vs. Social Security,"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Court Rulings/Decisions,2012,Federal court,,,,,,,
doc-11-48,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Protective Order",,Court Rulings/Decisions,2021,Federal court,,,,,,,
doc-11-49,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2022,Federal court,"Plaintiffs made a website after parting ways with Kaiser Permanente but kept data from their past business partnernship. ""The website advertised 'access to thousands of current and past Kaiser Permanente members and patients.'""",,,,,,
doc-5-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-5-20,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Social Media or Online Content",,Expert Witness Reports,2021,Federal court,The plaintiff is an nurse who is suing their former employer for accessing their personal gmail and social media accounts. Their employer is using the employee violating HIPAA as a jusitifcation for their actions,,,,,,
doc-5-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,State court,,,,,,,
doc-5-22,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-5-23,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-1-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2015,State court,"""Plaintiffs filed lawsuits (which are now consolidated) in July 2013 alleging
they were wrongfully terminated in response to their work in exposing or pursuing
prosecution of an illegal kickback scheme at the hospital""",,,,,,
doc-1-2,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,,2009,State court,,,,,,,
doc-1-3,Individual vs. Healthcare Provider (Covered Entity),"Demographics, Legal or Criminal Information",,Expert Witness Reports,2006,Federal court,"HIPAA used to justify not allowing police access to a victim of domestic violence who stated she felt unsafe at home. The expert report references Jaffee v. Redmond, saying ""Please note the implication of this decision. The court recognized that the “privacy” between a social worker and his/her client was so important that it took away discretion from the judge, suggesting that the privilege was so strong the court could not effect a “balancing test” by reviewing information in camera and weighing probative vs. prejudicial import."" which does feel kind of problematic.",,,,,,
doc-1-4,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2018,Federal court,,,,,,,
doc-2-1,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,,,,,,,
doc-2-2,Govenrment + Individual vs. Lab (unsure if it counts as a covered entity),Not applicable (e.g. because you are dealing with a resume),,Depositions,2021,Federal court,,,,,,,
doc-2-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data), ""For example, there is no provision in HIPAA that addresses biological, stored biological materials, so, for example, it's quite -- if there's -- in fact, genetics research is actually quite unhappily neglected by the federal law.""",,Depositions,2005,Federal court,,,,,,,
doc-2-4,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Depositions,2020,Federal court,,,,,,,
doc-2-5,Government + Individuals vs Lab (unsure if covered),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,Federal court,"Discusses HIPAA in relation to Fraud & Abuse laws, not data privacy",,,,,,
doc-2-6,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2018,Federal court,,,,,,,
doc-2-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2022,Federal court,This is an IP ownership dispute; the testimony is to determine whether the technologies being disputed are in fact HIPAA compliant,,,,,,
doc-2-8,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2015,Federal court,,,,,,,
doc-2-9,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Geo-location or GPS Data",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-2-16,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,,2011,Federal court,,,,,,,
doc-2-15,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2014,Federal court,Case summary: one company conspired to breach PHI stored by another company to then sell them computer security services.,,,,,,
doc-2-14,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Geo-location or GPS Data",,Expert Witness Reports,2001,Federal court,,,,,,,
doc-2-11,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2022,Federal court,,,,,,,
doc-2-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,Federal court,,,,,,,
doc-2-13,Neither Party is a Covered Entity,Internet or Network Activity,,,2009,Federal court,,,,,,,
doc-2-37,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data, Legal or Criminal Information",,Depositions,2005,Federal court,,,,,,,
doc-2-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2018,State court,,,,,,,
doc-2-39,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Depositions,2018,State court,,,,,,,
doc-2-57,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2019,State court,,,,,,,
doc-2-58,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2021,State court,,,,,,,
doc-13-70,Neither Party is a Covered Entity,Telephone Number,,Court Rulings/Decisions,2012,State court,,,,,,,
doc-13-71,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Qualified Protective Order Regarding PHI Pursuant to HIPAA,2008,State court,,,,,,,
doc-13-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2017,State court,"The Defendant Memorial Healthcare Group motioned to seal an exhibit from public records that contained “hundreds of thousands of cellular telephone numbers and
unique consumer identifiers"" protected under HIPAA. The court denied this motion.",,,,,,
doc-2-59,"Plaintiff is individual, unclear who defendants are","Personal Health Information (including biometrics, such as DNA), Financial Data",,Depositions,2018,State court,,,,,,,
doc-2-60,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2011,Federal court,,,,,,,
doc-2-77,Neither Party is a Covered Entity,"Real Estate Information, Legal or Criminal Information",,Depositions,2017,State court,"There is no indication that HIPAA is being used in this case to undermine individual rights or any strategic use of HIPAA. The case primarily revolves around a property-related incident and criminal events, with no mention of healthcare-related issues or the misuse of HIPAA protections.",,,,,,
doc-13-73,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2023,State court,"The plaintiffs took Fair Acres Geriatric Center to court, claiming the defendant caused their father's death due to their lax response to the COVID-19 pandemic. The prosecution requested the medical information of the father's two roommates; however, the Geriatric Center refused to produce the roommates’ medical records, citing privacy concerns and challenging the breadth of Plaintiffs’ production request. The judge granted their request.",,,,,,
doc-2-61,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Jury trial testimony of plaintiff,2018,State court,,,,,,,
doc-13-74,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2007,State court,"The plaintiff, who had a stillborn child, requested the detailed medical information (including names) for any previous suspected case of malpractice done by the people who treated her; the court agreed with the defendant that sharing this information would be in violation of HIPAA.",,,,,,
doc-2-62,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,State court,,,,,,,
doc-2-37,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2005,Federal court,,,,,,,
doc-2-63,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,State court,,,,,,,
doc-2-64,Individual vs. Health Insurance Plan (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2018,State court,,,,,,,
doc-2-65,Automobile Insurance Company vs. Healthcare Provider,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2008,Federal court,,,,,,,
doc-2-66,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2015,Federal court,Lawsuit surrounds validity of findings linking cosmetic talcum powder to mesothelioma; expert defends his findings (which supports the plaintiff's case that cosmetic talcum powder caused mesothelioma) by comparing his study to other studies he has critiqued that refute his findings; states that HIPAA requirements made studies refuting his findings less credible because researchers could not question research subjects about exposure in the same way that he could,,,,,,
doc-2-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2018,State court,,,,,,,
doc-13-75,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2021,State court,,,,,,,
doc-2-67,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,,Depositions,2014,Federal court,,,,,,,
doc-13-76,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2016,State court,,,,,,,
doc-2-39,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,Depositions,2018,State court,,,,,,,
doc-2-40,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Depositions,2015,State court,,,,,,,
doc-2-41,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,Federal court,,,,,,,
doc-13-77,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2018,State court,,,,,,,
doc-2-42,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,Can't tell,,,,,,,
doc-2-43,Neither Party is a Covered Entity,"Internet or Network Activity, Legal or Criminal Information",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-2-68,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,Federal court,,,,,,,
doc-2-44,Neither Party is a Covered Entity,"Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-2-45,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,,,,,,,
doc-2-69,Automobile Insurance Company vs. Healthcare Provider,"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2008,Federal court,,,,,,,
doc-2-46,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information",,Depositions,2019,Federal court,,,,,,,
doc-2-70,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Evaluative Psychiatric Examination",2014,State court,,,,,,,
doc-2-71,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,"Depositions, Partial Expert Testimony",2014,Federal court,,,,,,,
doc-2-72,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,State court,,,,,,,
doc-2-73,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-2-74,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,State court,,,,,,,
doc-2-97,"One of them might be covered, and the second likely not covered","Information about conduct, processes and bureaucracy",,Testimony of Defendant,2019,Federal court,"I'm unsure, but it might be about workplace injuries/violations.",,,,,,
doc-2-75,Neither Party is a Covered Entity,"Not applicable (e.g. because you are dealing with a resume), Only mention of HIPAA not relevant to the case; referred to previous professional experience of the expert",,"Depositions, Partial Expert Testimony",2014,Federal court,,,,,,,
doc-2-76,Healthcare Provider vs. Law Firm,"Educational or Professional Licensing Data, Legal or Criminal Information, HIPAA issue regarding licensing/insurance and marketing",,"Depositions, Expert Witness Testimony",2017,Federal court,,,,,,,
doc-2-98,Healthcare provider VS. Insurance Company,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data), Practices",,Expert Report,2008,Federal court,,,,,,,
doc-13-78,This is a qui tam action (private citizen filing a complaint on behalf of the gov) against Safeway (non-covered entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2016,State court,"The defendant Safeway argues that the information used by the relator to build his case was personal health information, which is in violation of HIPAA. The relator and his attorneys claim he falls under the HIPAA whistleblower exception.",,,,,,
doc-2-99,Individual vs. Healthcare Provider (Covered Entity),"Medical information not covered by HIPAA (e.g. aggregate prescription data), Medical operational processes",,Expert Report,2021,Federal court,,,,,,,
doc-1-1,Terminated Members of a Covered Entity vs. said Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2015,State court,,,,,,,
doc-2-17,Neither Party is a Covered Entity,The dispute is about larger fraud and anti-competitive practices. There is no personal data that is the subject of the dispute.,,Testimony of Defendants' Expert Witness,2018,State court,,,,,,,
doc-2-40,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Depositions,2015,State court,,,,,,,
doc-2-41,Neither Party is a Covered Entity,Internet or Network Activity,,Vitae,2013,Federal court,,,,,,,
doc-2-42,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,State court,,,,,,,
doc-2-43,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information, electronic discovery and digital forensics may involve various forms of electronic evidence.",,"Court Rulings/Decisions, Expert Witness Reports",2020,Federal court,,,,,,,
doc-2-44,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-2-45,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,,,,,,,
doc-2-46,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Depositions,2019,Federal court,,,,,,,
doc-2-78,Neither Party is a Covered Entity,Legal or Criminal Information,,Depositions,2007,Federal court,"In this case, the Strategic Use of HIPAA does not seem to directly apply. The expert deposition provided does not indicate HIPAA being used to block or obscure essential medical data in a way that undermines the lawsuit or individual rights, such as withholding information about environmental harms, workplace injuries, or drug-related damages. Instead, the expert discusses vocational assessments and worklife expectancy, and there is no evident mention of medical information being shielded or used manipulatively under HIPAA for the purpose of obstructing the plaintiff’s case.",,,,,,
Feb-37,Individual vs. Health Insurance Plan (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Court Transcript,2005,State court,,,,,,,
doc-2-57,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2019,Federal court,,,,,,,
doc-2-79,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,Federal court,"No strategic use of HIPAA in this case. Based on the Angela Moray case, there does not appear to be a strategic use of HIPAA in the way described in the question. The case is focused on allegations of medical negligence and failure to warn regarding psychiatric care. While the case involves medical information, there is no indication that HIPAA is being used to block important information or to undermine the lawsuit.

In this case, HIPAA is not being used to obstruct the legal process, and it does not seem to be part of any ""creepy"" strategy to avoid providing critical data.",,,,,,
doc-2-77,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Depositions,2017,State court,,,,,,,
doc-2-80,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2013,Federal court,"No strategic use of HIPAA in this case. Based on the Yeganeh case, there doesn't appear to be any strategic use of HIPAA to undermine the lawsuit. The case is about injuries sustained by Robert Yeganeh while participating in a ski activity, involving an ergonomic analysis of ski safety. There is no indication that HIPAA is being invoked to block essential information or to prevent the assertion of individual rights related to the case.",,,,,,
doc-2-97,Healthcare Provider (Covered Entity) vs. Media Corporation,Patient Interviews,,Court Transcript,2019,Federal court,,,,,,,
doc-3-17,Neither Party is a Covered Entity,None,,Expert Witness Reports,2008,Federal court,,,,,,,
doc-3-37,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2020,Federal court,,,,,,,
doc-5-79,Can't tell. There is no information about what case this list of expert publications is attached to.,Not applicable (e.g. because you are dealing with a resume),,Vitae,Not known,Can't tell,,,,,,,
doc-4-14,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,"Depositions, Court Transcript",2010,Federal court,,,,,,,
doc-5-80,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2020,Federal court,,,,,,,
doc-2-81,Individual vs. Healthcare Provider (Covered Entity),"Demographics, Educational or Professional Licensing Data",,Vitae,2020,Federal court,Not applicable.,,,,,,
doc-2-81,Individual vs. Healthcare Provider (Covered Entity),"Demographics, Educational or Professional Licensing Data",,Vitae,2020,Federal court,Not applicable,,,,,,
doc-2-82,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data",,Depositions,2014,Federal court,nope,,,,,,
doc-2-83,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,State court,nope,,,,,,
doc-2-84,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,Federal court,,,,,,,
doc-2-85,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2017,Federal court,nope,,,,,,
doc-2-86,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2011,State court,No indication that HIPAA was misused to block or undermine any individual rights.,,,,,,
doc-2-87,The case is between an insurance company (State Farm) and a mobile diagnostic imaging provider (MDI),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2013,Federal court,No indication that HIPAA is being used in a problematic or strategic manner.,,,,,,
doc-2-88,"The parties are a corporate plaintiff—Aire Technology Ltd.—versus Google, LLC. This does not fit neatly into the typical “covered entity” categories since the dispute centers on technology and intellectual property issues rather than healthcare service disputes.",Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Federal court,"There is no indication that HIPAA is being strategically misused in this document.)

",,,,,,
doc-2-89,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2015,State court,No indication that HIPAA is being used here; no “problematic” or “creepy” use of HIPAA appears.,,,,,,
doc-2-47,Neither Party is a Covered Entity,"Educational or Professional Licensing Data, Internet or Network Activity, Intellectual property and patent-related data",,"Expert Witness Reports, Vitae",2011,Federal court,,,,,,,
doc-2-77,Individual vs Business Entity,Legal or Criminal Information,,Depositions,2017,State court,,,,,,,
doc-2-78,Individual vs Business Entity,"Educational or Professional Licensing Data, Financial Data, Legal or Criminal Information",,Depositions,2007,Federal court,,,,,,,
doc-2-48,Expert Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-2-47,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2011,Federal court,,,,,,,
