DocumentID,PartiesInvolved,KindOfPersonalData,DocumentType,DateOfDocumentOrCase
doc-8-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-10-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Other
doc-5-51,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Depositions,2018
doc-7-3,Other,Educational or Professional Licensing Data,Vitae,2010
doc-12-68,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-6-12,Other,Educational or Professional Licensing Data,Expert Witness Reports,2022
doc-3-28,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Vitae,2007
doc-3-36,Neither Party is a Covered Entity,Legal or Criminal Information,Depositions,2017
doc-5-62,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2012
doc-9-06,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2020
doc-2-73,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-5-1,Other,Not applicable,Vitae,2023
doc-10-30,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-6-25,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2022
doc-10-33,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2010
doc-2-85,Neither Party is a Covered Entity,"Educational or Professional Licensing Data, Other",Expert Witness Reports,2017
doc-5-87,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Other",Expert Witness Reports,2013
doc-5-99,Neither Party is a Covered Entity,"Financial Data, Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-5-27,Government vs. Healthcare Entity (Covered Entity),"Financial Data, Demographics",Expert Witness Reports,2008
doc-5-18,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2020
doc-6-23,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-6-57,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",Expert Witness Reports,2013
doc-2-99,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-2-14,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-9-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Court Rulings/Decisions,2021
doc-2-31,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2016
doc-8-18,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-4-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-3-34,Other,Educational or Professional Licensing Data,Vitae,2014
doc-2-25,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-66,Neither Party is a Covered Entity,Other,Depositions,2015
doc-13-77,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-2-17,Neither Party is a Covered Entity,"Legal or Criminal Information, Other",Expert Witness Reports,2018
doc-6-69,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data","Expert Witness Reports, Depositions",2013
doc-2-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2010
doc-2-81,Neither Party is a Covered Entity,"Internet or Network Activity, Legal or Criminal Information, Other",Expert Witness Reports,2020
doc-12-66,Neither Party is a Covered Entity,Not applicable,Court Rulings/Decisions,Not known
doc-5-85,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-10-39,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-5-50,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-13-70,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2012
doc-2-61,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-16,Other,Educational or Professional Licensing Data,Vitae,2010
doc-11-52,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2022
doc-6-29,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2023
doc-5-91,Other,Not applicable,Vitae,2017
doc-6-63,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2010
doc-2-6,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2018
doc-3-5,Neither Party is a Covered Entity,Other,Depositions,2021
doc-2-78,Neither Party is a Covered Entity,"Financial Data, Educational or Professional Licensing Data","Depositions, Expert Witness Reports",Not known
doc-8-6,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-11-57,Neither Party is a Covered Entity,Not applicable,Court Rulings/Decisions,Other
doc-6-70,Other,Not applicable,Expert Witness Reports,2005
doc-11-53,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2019
doc-3-9,Other,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2016
doc-8-16,Other,Educational or Professional Licensing Data,Vitae,2017
doc-1-2,Healthcare Provider vs. Healthcare Provider (Covered Entity),Demographics,Expert Witness Reports,2009
doc-5-94,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-3-23,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2015
doc-2-70,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2023
doc-5-82,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-1-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-67,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-9-18,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-2-9,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-11-48,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Other,2021
doc-4-6,Neither Party is a Covered Entity,"Financial Data, Medical information not covered by HIPAA",Expert Witness Reports,2011
doc-5-31,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2017
doc-5-20,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Social Media or Online Content",Expert Witness Reports,2021
doc-10-21,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2008
doc-5-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2010
doc-5-8,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data, Legal or Criminal Information",Expert Witness Reports,2022
doc-5-53,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2015
doc-5-13,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics","Expert Witness Reports, Vitae",2022
doc-4-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-5-59,Other,Not applicable,Vitae,2023
doc-6-19,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2005
doc-2-68,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-2-10,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-9-14,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2022
doc-8-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-18,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2019
doc-6-1,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-45,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2014
doc-8-8,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-10-36,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2021
doc-3-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-5-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2012
doc-5-15,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-3-17,Government vs. Healthcare Entity (Covered Entity),Financial Data,Expert Witness Reports,2023
doc-10-31,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-6-26,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2009
doc-3-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,Not known
doc-2-82,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2014
doc-5-48,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2010
doc-2-43,Individual vs. Health Insurance Plan (Covered Entity),Other,Expert Witness Reports,2020
doc-6-30,Other,Educational or Professional Licensing Data,Vitae,2011
doc-4-9,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2011
doc-5-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-8-19,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2022
doc-5-6,Healthcare Provider vs. Healthcare Provider (Covered Entity),Demographics,Expert Witness Reports,2009
doc-2-71,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-5-67,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2011
doc-6-74,Other,Educational or Professional Licensing Data,Vitae,2009
doc-2-84,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Depositions,2018
doc-2-92,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-3-20,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2016
doc-13-75,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2021
doc-2-19,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-8-4,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-2-45,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2010
doc-8-13,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2022
doc-5-25,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2023
doc-2-4,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-5-28,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,Not known
doc-2-44,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2014
doc-12-67,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2010
doc-5-81,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-2-23,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-84,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-6-32,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2015
doc-8-9,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics","Expert Witness Reports, Affidavit",2022
doc-3-29,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-5-96,Neither Party is a Covered Entity,"Financial Data, Legal or Criminal Information",Depositions,2017
doc-9-20,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Court Rulings/Decisions,Other
doc-6-51,Other,Educational or Professional Licensing Data,Vitae,2010
doc-2-32,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2022
doc-10-40,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-12-62,Individual vs. Healthcare Provider (Covered Entity),Financial Data,Court Rulings/Decisions,2021
doc-5-78,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-3-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-13-71,Other,"Personal Health Information (including biometrics, DNA)",Other,Not known
doc-5-95,Other,Educational or Professional Licensing Data,Vitae,2019
doc-13-74,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-5-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2016
doc-9-02,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Court Rulings/Decisions,2012
doc-3-10,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2015
doc-2-54,Other,Not applicable,Expert Witness Reports,2009
doc-5-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-30,Other,Not applicable,Expert Witness Reports,2014
doc-6-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information","Depositions, Expert Witness Reports",2021
doc-3-40,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)","Depositions, Expert Witness Reports",2023
doc-8-5,Neither Party is a Covered Entity,Not applicable,Depositions,2022
doc-6-62,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2014
doc-8-1,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-46,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-2-56,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2013
doc-6-34,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics, Educational or Professional Licensing Data, Financial Data",Expert Witness Reports,2010
doc-8-7,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Expert Witness Reports,2010
doc-2-74,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Expert Witness Reports,2017
doc-6-36,Other,Educational or Professional Licensing Data,Vitae,2009
doc-2-53,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics",Depositions,Not known
doc-2-3,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Other",Expert Witness Reports,2023
doc-11-43,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-9-16,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Other,2020
doc-6-14,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2010
doc-11-46,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-6-3,Neither Party is a Covered Entity,"Financial Data, Other",Expert Witness Reports,2023
doc-10-32,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2022
doc-10-23,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-11-42,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Settlement Agreements,2019
doc-5-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-37,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2004
doc-3-3,Other,Other,Expert Witness Reports,Not known
doc-2-100,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-33,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2020
doc-10-35,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2005
doc-9-09,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2017
doc-12-63,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Court Rulings/Decisions,2018
doc-2-37,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Depositions,2023
doc-6-52,Other,Educational or Professional Licensing Data,Vitae,2010
doc-5-55,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2011
doc-6-38,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2009
doc-7-1,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-2-16,Neither Party is a Covered Entity,Not applicable,Depositions,Not known
doc-5-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Legal or Criminal Information",Expert Witness Reports,2023
doc-7-7,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-5-73,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-2-42,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2019
doc-6-56,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-65,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Depositions,2012
doc-6-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2009
doc-6-54,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics, Medical information not covered by HIPAA",Expert Witness Reports,2005
doc-2-79,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2010
doc-5-9,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2023
doc-11-44,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2022
doc-10-22,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2004
doc-5-66,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-11,Neither Party is a Covered Entity,Not applicable,Depositions,2022
doc-2-40,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2015
doc-5-26,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-12-60,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-7-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-2-1,Other,Educational or Professional Licensing Data,Vitae,2010
doc-5-3,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2021
doc-2-88,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2022
doc-2-97,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2019
doc-8-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-5-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2019
doc-2-60,Neither Party is a Covered Entity,Medical information not covered by HIPAA,Depositions,2011
doc-5-52,Neither Party is a Covered Entity,"Financial Data, Medical information not covered by HIPAA",Expert Witness Reports,2011
doc-6-9,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Expert Witness Reports,2018
doc-8-2,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-5-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-2-86,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2011
doc-3-11,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2022
doc-3-18,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-2-5,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-2-26,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Educational or Professional Licensing Data, Other",Depositions,2023
doc-9-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2019
doc-5-54,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
