document id,type of court response,type of court reasoning,parties involved response,parties involved reasoning,kind of personal data involved in the case response,kind of personal data involved in the case reasoning,date of document or case response,date of document or case reasoning,document type response,document type reasoning,something interesting response,something interesting reasoning,"does this document contain expert opinions, credentials, or testimony response","does this document contain expert opinions, credentials, or testimony reasoning",evaluator
doc-2-7,federal court,"the document specifically identifies the case as being in the 'united states district court, middle district of florida, tampa division' (case number 8:21-cv-00385), which is a federal court.",healthcare provider vs. healthcare provider,"the case involves nview health, inc. (a company that provides digital psychiatric assessment tools) as plaintiff against dr. david v. sheehan (who appears to be the creator of the original mini psychiatric assessment tools) as defendant. both parties are involved in healthcare through the development and provision of psychiatric assessment tools.","personal health information, medical information not covered by hipaa","the case discusses software handling protected health information (phi) specifically related to psychiatric assessments. the deposition includes discussion about encryption of phi data, hipaa compliance issues in nview's systems, and how mental health information requires special privacy protections due to stigma. the case also discusses aggregated assessment data and testing that wouldn't be covered by hipaa.",2022,"the deposition was conducted on july 6, 2022, as stated at the beginning of the document: 'we are going on the record at 12:57 p.m. on july 6, 2022.'","depositions, expert witness reports",this document is a transcript of an expert witness deposition. dr. jonathan elhai is being deposed as an expert witness for the plaintiff (nview health). the document includes discussion of his expert report and testimony regarding his expert opinions.,"the deposition reveals that nview may have claimed hipaa compliance in marketing materials when their systems weren't fully compliant. there's testimony that after a witness (libby dodson) testified about compliance gaps, nview removed hipaa compliance claims from their website.","the expert witness discusses how nview's software may have had issues with hipaa compliance, including unencrypted phi storage. the questioning reveals that nview marketed their software as hipaa compliant despite potential compliance issues, which is problematic because it could mislead healthcare providers into using a non-compliant system for sensitive mental health data.",yes,"this document is entirely a deposition of dr. jonathan elhai, who is serving as an expert witness for nview health. it contains his credentials (phd in psychology, professor at university of toledo), his background, and his expert opinions regarding the validation of digital psychiatric assessment tools. the document specifically covers his expert report and the opinions contained within it.",claude
doc-2-8,federal court,"the document is from the united states district court, e.d. michigan (eastern district of michigan), which is a federal court. this is clearly stated in the header of the document.",individual vs. government vs. healthcare entity,the case involves onur baser (individual) as plaintiff against the u.s. department of veterans affairs (va) as defendant. the va is a government entity that provides healthcare services and would qualify as a covered entity under hipaa.,"personal health information, demographics","the deposition discusses de-identification of data sets from the va. dr. barth-jones testifies about statistical disclosure risk analysis, hipaa de-identification standards, and methods to prevent re-identification of individuals in healthcare data. the document mentions the removal of geographical information from data sets, which falls under demographics, and discusses medical information throughout.",2015,"the document is dated april 8, 2015, as shown in the deposition heading and confirmed in the text indicating this was when the deposition took place.","depositions, expert witness reports","this is clearly a deposition transcript of daniel barth-jones, who is serving as an expert witness on hipaa de-identification. the document captures his testimony under oath and references his declarations/reports that he submitted in the case.",this case appears to involve a foia request where the va is potentially using hipaa as a justification to withhold data that the plaintiff's expert argues could be sufficiently de-identified and safely released while maintaining individual privacy. the case highlights tension between data access for research and privacy protection.,"the document reveals that dr. baser requested data from the va through foia, and the va appears to have denied or limited this request on privacy/hipaa grounds. dr. barth-jones, an expert in de-identification, testifies about methods to safely de-identify data while maintaining its utility for research.",yes,"this document is a deposition of dr. daniel barth-jones, who is explicitly identified as an expert witness in hipaa de-identification. it includes his credentials (ph.d., m.p.h., teaching at columbia university, consulting on hipaa de-identification), and his expert opinions on statistical disclosure control methodologies and de-identification techniques.",claude
doc-2-9,federal court,"the document explicitly states it's from the 'united states district court, d. new jersey' with case number 2:17-cv-13139 (wjm) (mah), which is a federal court designation.",other,the case involves hae park (through guardian ad litem) as plaintiff versus the united states of america as defendant. this is a case against the federal government rather than a specific healthcare entity covered by hipaa.,"personal health information, medical information not covered by hipaa","the case involves dti (diffusion tensor imaging) data, which is a specialized form of mri brain imaging. the dispute centers around access to both the plaintiff's dti data and the control subjects' brain imaging data used for comparison by plaintiff's expert dr. lipton. dr. tsiouris argues these control images could be properly de-identified.",2022,"the document is dated march 9, 2022 as indicated at the top of the affidavit.",expert witness reports,"this is an affidavit from dr. apostolos john tsiouris, who is serving as an expert witness for the defendant (united states). he provides his credentials as chief of neuroradiology at newyork-presbyterian hospital and offers expert opinions on dti data disclosure issues.",the document reveals how hipaa may be strategically invoked to shield scientific data from scrutiny in litigation,"dr. tsiouris argues that the plaintiff's expert (dr. lipton) is improperly using hipaa as a shield to prevent disclosure of underlying control group dti data needed for the defense to evaluate the plaintiff's expert claims. he asserts that this data could be properly de-identified, and that refusing to provide it prevents proper scientific scrutiny of claims being made against the government.",yes,"the entire document is an affidavit from dr. apostolos john tsiouris, who presents his credentials as chief of neuroradiology at newyork-presbyterian hospital, describes his expertise in neuroradiology and dti analysis, and provides expert opinions on the necessity of disclosing the underlying dti data for proper scientific evaluation.",claude
doc-2-10,federal court,"the document clearly states this is from the 'united states district court, e.d. michigan' (eastern district of michigan), which is a federal court.",individual vs. government vs. healthcare entity,"the case involves onur baser (the individual plaintiff) against the united states department of veterans affairs (va), which is a government healthcare entity that functions as a covered entity under hipaa.","personal health information, demographics, geo-location or gps data, legal or criminal information","the document discusses va healthcare datasets containing personal health information including various demographic data (gender, age/dob, race), location information (zip codes), healthcare facility information, enrollment information, disability ratings, and medical records. the expert describes re-identification techniques using this data.",2014,"the document is dated january 30, 2014, as shown in the header and footer of the document.",expert witness reports,this is a 'supplemental declaration of susan hickey' who is identified as an expert in 'engineering & science >> engineers/engineering' and 'computers & electronics >> software'. she provides expert testimony about hipaa data de-identification and re-identification techniques.,"the expert demonstrates how easily supposedly 'de-identified' health data processed according to hipaa safe harbor standards can be re-identified using basic database queries and publicly available information, raising serious questions about the effectiveness of hipaa's de-identification provisions.","the expert shows how she could re-identify specific patients from de-identified data using just six variables, and highlights that this can be done with free online tools, basic database querying skills taught in high schools, and publicly available databases such as voter registrations.",yes,"this document is explicitly an expert declaration from susan hickey, supervisory program analyst at va's national data systems. she provides expert opinions about data re-identification techniques and demonstrates how supposedly de-identified data can be re-identified with minimal effort using basic database queries.",claude
doc-2-11,federal court,"the document header explicitly states 'united states district court, d. massachusetts' indicating this is a federal case with case number 1:21-cv-10865-nmg.",other,"the parties in this case are milliman, inc., milliman solutions, llc, and vigilytics llc (plaintiffs) versus gradient a.i. corp., stanford a. smith, and samuel chase pettus (defendants). this appears to be a patent dispute involving technology that processes healthcare data rather than a case directly involving hipaa-covered entities. the companies seem to be technology companies that developed systems for handling healthcare data.","personal health information, medical information not covered by hipaa","the case involves patents for systems that handle de-identified healthcare data and tokens. throughout the deposition, dr. rubin discusses methods for de-identifying personal health information, creating tokens that don't reveal individual identities, and techniques for encryption of medical records. the testimony also discusses aggregate healthcare data and group health status assessments.",2022,"the document header explicitly states the deposition took place on november 17, 2022.","depositions, expert witness reports","this document is a transcript of the deposition of dr. aviel d. rubin, who is serving as an expert witness. the document is labeled as 'expert deposition' and contains questions and answers in a standard deposition format.",,"there is no indication of problematic strategic use of hipaa in this document. the case involves patents for technologies designed to comply with hipaa by protecting patient privacy while allowing aggregate analysis of de-identified healthcare data. the expert discusses how the patented technology enables healthcare data analysis without revealing individual identities, which aligns with hipaa's goals rather than undermining them.",yes,"this entire document is a deposition of dr. aviel d. rubin, who is serving as an expert witness. it includes detailed information about his credentials (professor at johns hopkins university with expertise in computer security and cryptography), his professional experience, and his opinions on technical matters related to the patents in question, particularly regarding encryption, data security, and de-identification of healthcare data.",claude
doc-2-12,state court,"the document identifies the venue as 'court of common pleas of ohio, franklin county' which is a state-level trial court in ohio.",individual vs. healthcare provider,"the case is titled 'david winkfield, plaintiff, v. mount carmel east hospital, et al., defendants.' mount carmel east hospital is a healthcare provider and covered entity under hipaa, while david winkfield appears to be an individual plaintiff.","personal health information, legal or criminal information",the testimony discusses unauthorized access to medical records and specifically mentions hiv status disclosure. the expert states that an employee named givens 'told his kids about the hiv status' of the plaintiff. the case involves hipaa violations related to accessing and disclosing protected health information.,2010,"the document is dated 'march 3, 2010' as shown at the top of the transcript, which is when this deposition was taken.","depositions, expert witness reports","this is clearly a deposition transcript of john c. parmigiani, who is identified as an expert witness. the document follows a question-and-answer format with attorneys questioning the expert, and includes opening statements identifying it as a deposition.",,"there is no evidence in this document of hipaa being used strategically to undermine lawsuits seeking to assert individual rights. rather, this appears to be a case about enforcing hipaa protections for an individual whose medical information was improperly accessed and disclosed.",yes,"the entire document is a deposition of john c. parmigiani, identified as an expert in 'medical & surgical >> hospital' and 'legal & insurance >> legal experts'. the deposition covers his credentials, experience with hipaa compliance, previous expert witness work, and his opinions about the case involving unauthorized access and disclosure of patient information.",claude
doc-2-13,federal court,"the document indicates this is a case in the 'united states district court, district of oregon, case no. 07-cv-934-br,' which is a federal court.",neither party is a covered entity,"the case involves tanya andersen (plaintiff) suing atlantic recording corporation and others (defendants). these are not healthcare providers, insurance plans, or other hipaa-covered entities. this appears to be a copyright infringement case related to music file sharing.","internet or network activity, other","the case involves ip addresses and file sharing activity on the kazaa peer-to-peer network. the expert report discusses how media sentry collected information about users allegedly sharing copyrighted music files, including ip addresses, user names, and shared directory information.",2009,"the document is dated 'june 15, 2009' as shown at the top of the report.",expert witness reports,"this is an 'evaluation of the media sentry methodology' by dr. zachary n.j. peterson, who provides his qualifications and expert opinion on the technical methods used by media sentry to identify alleged copyright infringers.",,"this case doesn't involve hipaa at all. it's about copyright infringement related to music file sharing. hipaa is only mentioned as part of dr. peterson's background research interests, not as part of the case itself.",yes,"this document is entirely an expert witness report by dr. zachary n.j. peterson. it contains his credentials (phd in computer science, masters degrees, professional experience), and his expert opinions on the methodology used by media sentry to identify alleged copyright infringers.",claude
doc-2-14,federal court,"the document header states 'united states district court, e.d. north carolina, western division' which indicates this is a federal district court case.",other,"the case involves quintiles transnational corp. (plaintiff) and webmd corporation (defendant). webmd appears to handle healthcare data, potentially as a covered entity, and quintiles appears to be receiving patient data, though their exact hipaa classifications aren't explicitly stated.","personal health information, demographics, medical information not covered by hipaa","the document discusses patient data including diagnosis codes, medications, and procedures (phi), as well as demographic information such as zip codes, birth dates, and gender. the expert analyzes how this data, even when supposedly de-identified, can be re-identified by linking to other public datasets.",other,"the document is dated march 14, 2001, as indicated in the header information.",expert witness reports,"this is clearly labeled as a 'declaration of latanya sweeney, ph.d.' and contains her expert qualifications, opinions, and detailed analysis regarding data de-identification practices.",the expert demonstrates that supposedly 'de-identified' health data can still be re-identified through linking with other public data sources like voter registration lists. this highlights a significant privacy concern where companies may claim hipaa compliance through basic de-identification while patient privacy remains at risk.,"dr. sweeney shows how removing explicit identifiers is insufficient for true anonymization. she demonstrates that by using publicly available data (like voter lists) and common computer tools, she could re-identify 66-88% of patients using just zip code, birth date, and gender - undermining claims that the data sharing practices were adequately protective of patient privacy.",yes,"the entire document is an expert declaration from dr. latanya sweeney, who details her credentials as director of the laboratory for international data privacy at carnegie mellon university, professor of computer science and public policy, and an expert in data privacy and de-identification techniques.",claude
doc-2-15,federal court,"the document clearly states 'united states district court, w.d. pennsylvania' at the top, indicating this is a federal court case in the western district of pennsylvania.",government vs. healthcare entity,"the document shows 'labmd, inc., v. tiversa holding corp. et al.' but also indicates federal trade commission (ftc) involvement. from the content, it appears to be part of an ftc investigation/case against labmd (a medical laboratory that processes tissue samples and maintains phi). the deposition mentions 'in the matter of: labmd, a corporation' and representatives from the ftc are conducting the questioning.","personal health information, financial data, demographics","the document repeatedly discusses phi (personal health information) which the expert defines as information related to health associated with a person. there are references to a file called 'insuranceaging_6.05.071.pdf' containing sensitive patient information. the witness specifically mentions social security numbers, diagnoses, and health conditions as part of the phi. financial data is implicated through insurance information and billing data. demographics are implied as part of the patient records.",2014,"the document explicitly states the date as 'tuesday, april 22, 2014' at the beginning of the deposition transcript.","depositions, expert witness reports","this is clearly a deposition transcript of adam fisk, who is identified as an expert witness. the document is labeled as an 'expert deposition' in the header and includes question-and-answer format typical of depositions. it also references his expert report (exhibit cx0950).",,"while this case involves hipaa-related data security issues, there's no clear evidence in this document that hipaa is being strategically used to undermine individual rights. the case appears to focus on whether labmd had adequate security practices to protect phi, particularly after a file containing sensitive information was found on a p2p network (limewire).",yes,"this document is explicitly an expert deposition. adam fisk is identified as an expert witness in the areas of 'engineering & science >> engineers/engineering' and 'computers & electronics >> software'. he provides opinions about limewire (software he helped develop), network security practices, and whether labmd's security measures were reasonable and adequate during the relevant time period.",claude
doc-2-16,federal court,"the document explicitly states this is a case in 'united states district court, c.d. california' (central district of california), which is a federal court. the case number format '2:10-cv-7843-jfw' also indicates federal jurisdiction.",neither party is a covered entity,"this is a trademark dispute between compulink management center (doing business as laserfiche) as plaintiff and sap america, sap ag, and sap global marketing as defendants. these are software/technology companies, not healthcare providers, health insurance plans, or other hipaa-covered entities.",not applicable,this case involves a trademark dispute about the phrase 'run smarter' and consumer recognition of this phrase. the deposition discusses survey methodology used to determine if the phrase had acquired secondary meaning. no personal health information or other sensitive personal data is at issue in this case.,2011,"the document is dated august 5, 2011, as clearly indicated at the top of the transcript and in the header information.","depositions, expert witness reports","this is a deposition transcript of dr. deborah jay (explicitly labeled as 'deposition of deborah jay, phd'). she is testifying as an expert witness who conducted a survey related to trademark secondary meaning, and her expert report is discussed throughout the deposition.",,"there is no problematic strategic use of hipaa in this document. hipaa is only mentioned briefly in passing when the expert discusses access controls for document management systems, but it is not central to the case or used strategically by any party.",yes,"this entire document is a deposition of dr. deborah jay, who is explicitly identified as an expert witness in the field of marketing research, statistics, and survey methodology. throughout the deposition, she discusses her credentials, methodology for the survey she conducted, and her expert opinions about whether the phrase 'run smarter' had acquired secondary meaning in the marketplace.",claude
doc-2-17,federal court,"the document clearly states this is the 'united states district court, w.d. texas' (western district of texas), which is a federal court.",healthcare provider vs. healthcare provider,"the case involves united biologies, llc and academy of allergy & asthma in primary care as plaintiffs against allergy & asthma network/mothers of asthmatics, inc. and tonya winders as defendants. these appear to be healthcare-related organizations rather than covered entities under hipaa specifically.","medical information not covered by hipaa, personal health information","the case involves healthcare billing practices and insurance claims related to allergy testing and immunotherapy. while specific patient data isn't directly displayed, the testimony mentions patient interviews and medical records were reviewed as part of the fraud investigation. the investigation looked at claims data that would contain protected health information.",2018,"the document is dated march 15, 2018, as shown in the header of the transcript.","expert witness reports, depositions","this is a trial transcript of expert witness testimony from james guy, who was presented as an expert in fraud investigation for the defendants. while not a deposition in the technical sense, it is sworn testimony being given in court.","this case includes testimony about how healthcare fraud investigations navigate hipaa restrictions, showing how insurance companies must use specific legal channels to share data with law enforcement.","the witness explains how insurance companies must navigate hipaa when sharing patient information with law enforcement during fraud investigations, requiring either subpoenas or formal investigative demand letters. while not problematic, it illustrates the procedural aspects of hipaa in enforcement contexts.",yes,"this document is entirely the testimony of james guy, who is presented as an expert witness in fraud examination and healthcare fraud investigation. he discusses his credentials as a certified fraud examiner and his experience investigating healthcare fraud for blue cross blue shield of texas. his testimony includes his professional opinions about potential billing fraud in allergy testing and treatment services.",claude
